Time[s],RateRoll[deg/s],RatePitch[deg/s],RateYaw[deg/s],AccX[m/s^2],AccY[m/s^2],AccZ[m/s^2],Torque[Ncm]
5.33,0.15,0.39,-0.66,-0.71,-9.59,0.86,0.01
5.34,-0.11,-0.0,0.21,-0.53,-9.78,0.9,0.01
5.44,-0.1,0.05,0.07,-0.5,-9.75,0.92,0.01
5.53,-0.04,-0.01,-0.01,-0.55,-9.73,0.93,0.01
5.61,0.05,-0.01,0.14,-0.55,-9.77,0.88,0.01
5.72,0.05,0.09,0.05,-0.53,-9.76,0.88,0.01
5.81,-0.05,0.15,-0.07,-0.53,-9.74,0.94,0.01
5.89,-0.11,0.13,0.01,-0.55,-9.75,0.92,0.01
6.02,-0.05,-0.01,0.06,-0.55,-9.75,0.88,0.01
6.08,0.01,-0.03,0.13,-0.55,-9.75,0.85,0.01
6.29,-0.1,0.1,0.14,-0.59,-9.75,0.82,0.01
6.29,-0.18,0.09,0.09,-0.55,-9.76,0.88,0.01
6.35,-0.17,-0.03,0.06,-0.52,-9.77,0.89,0.01
6.44,-0.15,0.01,0.03,-0.6,-9.74,0.86,0.01
6.55,-0.15,0.11,0.09,-0.59,-9.77,0.89,0.01
6.64,-0.13,0.09,0.08,-0.53,-9.79,0.92,0.01
6.73,-0.06,0.06,0.01,-0.53,-9.76,0.92,0.01
6.81,-0.12,0.09,-0.05,-0.55,-9.75,0.88,0.01
6.9,-0.1,0.12,-0.09,-0.57,-9.78,0.88,0.01
7.01,0.0,0.06,-0.02,-0.54,-9.79,0.92,0.01
7.21,-0.05,-0.05,0.03,-0.54,-9.77,0.93,0.01
7.21,-0.07,-0.0,0.06,-0.59,-9.74,0.95,0.01
7.28,-0.01,0.08,0.19,-0.58,-9.73,0.97,0.01
7.37,-0.09,-0.01,0.24,-0.57,-9.76,0.94,0.01
7.45,-0.12,0.04,0.05,-0.56,-9.76,0.9,0.01
7.54,0.01,0.07,-0.03,-0.52,-9.76,0.84,0.01
7.64,-0.03,-0.05,0.04,-0.53,-9.79,0.84,0.01
7.74,-0.1,0.06,0.06,-0.57,-9.79,0.94,0.0
7.83,-0.03,0.15,0.01,-0.57,-9.78,0.98,0.01
7.93,-0.03,0.06,-0.04,-0.54,-9.76,0.93,0.0
8.14,-0.08,0.08,-0.08,-0.55,-9.73,0.9,0.0
8.14,-0.16,0.1,-0.11,-0.57,-9.76,0.93,0.0
8.21,-0.15,-0.02,-0.01,-0.55,-9.77,0.93,0.01
8.3,-0.0,0.01,0.05,-0.53,-9.74,0.94,0.0
8.38,0.04,0.13,0.07,-0.55,-9.74,0.91,0.0
8.48,-0.01,0.05,0.18,-0.57,-9.74,0.95,0.01
8.57,-0.04,-0.05,0.26,-0.56,-9.73,1.0,0.01
8.65,-0.07,0.02,0.16,-0.56,-9.73,0.93,0.01
8.75,-0.17,0.07,0.06,-0.55,-9.72,0.93,0.01
8.84,-0.25,0.07,0.06,-0.53,-9.75,0.95,0.0
9.08,-0.21,0.07,-0.01,-0.52,-9.8,0.85,0.01
9.08,-0.16,-0.04,-0.04,-0.54,-9.78,0.86,0.01
9.11,-0.09,-0.05,0.07,-0.56,-9.76,0.88,0.01
9.21,-0.1,0.05,0.07,-0.58,-9.76,0.86,0.01
9.31,-0.18,0.12,-0.02,-0.56,-9.71,0.89,0.01
9.39,-0.15,0.11,-0.04,-0.54,-9.71,0.88,0.01
9.49,-0.16,-0.02,-0.04,-0.55,-9.77,0.85,0.01
9.57,-0.24,0.0,0.03,-0.56,-9.75,0.9,0.0
