Time[s],RateRoll[deg/s],RatePitch[deg/s],RateYaw[deg/s],AccX[m/s^2],AccY[m/s^2],AccZ[m/s^2],Torque[Ncm]
0.46,-0.42,1.73,-357.82,-5.51,6.52,-0.88,2.41
0.55,0.18,0.11,-355.18,-1.95,-2.74,-0.24,2.66
0.63,-0.09,0.35,-333.31,0.98,-16.81,1.79,2.84
0.75,0.38,-0.38,-325.22,5.75,-15.72,2.41,2.88
0.83,-0.16,-1.68,-344.48,9.76,-4.43,1.31,2.77
0.93,-0.33,2.08,-338.89,12.12,13.67,-0.82,2.56
1.0,0.47,0.66,-343.96,8.29,11.77,0.32,2.26
1.09,-0.74,0.59,-349.04,0.72,3.07,1.43,1.94
1.19,-0.56,0.59,-342.01,-3.77,6.86,0.63,1.81
1.37,0.43,-2.26,-353.14,-6.59,9.09,0.4,1.89
1.56,0.18,1.35,-356.87,-7.3,12.43,-0.67,2.12
1.56,0.31,1.3,-357.28,-7.12,1.65,-0.18,2.4
1.57,-0.11,0.4,-342.69,-5.18,-10.91,0.47,2.7
1.65,0.31,1.03,-320.71,0.26,-11.07,0.64,2.91
1.76,0.31,-1.56,-336.88,4.19,-17.02,2.4,2.98
1.83,-0.77,0.68,-342.3,8.38,-9.2,1.78,2.84
1.94,-0.24,1.21,-335.51,11.88,5.25,0.95,2.55
2.02,-0.77,1.1,-343.84,8.77,5.6,1.33,2.28
2.11,-0.64,2.33,-340.47,2.77,5.62,0.93,2.03
2.21,0.79,-2.02,-352.07,-3.38,1.87,2.01,1.87
2.4,0.32,-0.74,-359.07,-7.04,5.44,1.44,1.91
2.41,0.89,2.11,-352.76,-6.73,13.85,-0.48,2.11
2.49,1.09,-1.01,-360.92,-7.58,0.82,0.28,2.39
2.57,-0.05,0.81,-340.2,-6.09,-8.4,0.12,2.66
2.66,0.71,0.62,-323.24,-0.74,-9.43,0.33,2.89
2.77,0.36,-1.36,-342.19,4.81,-9.93,1.28,2.97
2.87,-0.56,1.88,-343.38,10.76,2.82,0.08,2.86
2.94,0.28,1.29,-340.64,11.69,5.24,0.29,2.7
3.06,0.05,1.35,-341.56,9.01,7.02,-0.03,2.43
3.13,-0.18,0.19,-347.06,5.21,11.78,-0.12,2.12
3.29,-0.16,-4.06,-370.54,-2.58,1.83,2.15,1.91
3.3,0.1,-0.62,-361.71,-6.89,3.67,1.67,1.89
3.43,0.49,1.62,-345.48,-7.54,8.45,-0.0,2.04
3.5,-0.77,0.82,-343.25,-8.47,2.24,-0.66,2.31
3.59,-0.04,0.79,-329.33,-6.95,-7.57,0.17,2.57
3.69,0.79,-1.18,-335.78,-4.02,-20.65,2.23,2.81
3.78,-0.74,1.37,-342.23,2.44,-15.49,1.96,2.94
3.88,-0.13,1.72,-344.18,8.96,-5.99,2.07,2.92
3.96,0.3,0.1,-346.54,10.51,-3.05,1.79,2.82
4.05,-0.3,2.48,-329.1,11.11,12.6,-1.34,2.58
4.22,0.68,-1.92,-346.36,7.0,13.99,-0.49,2.2
4.23,0.29,-3.39,-374.52,-1.72,2.1,2.26,1.94
4.33,-0.16,2.36,-359.91,-5.59,7.27,1.3,1.89
4.43,0.03,0.79,-351.04,-7.14,8.95,0.18,2.01
4.51,-0.84,-0.09,-344.33,-8.93,2.75,-0.55,2.24
4.61,0.42,0.79,-328.45,-7.59,-5.22,0.06,2.52
4.71,0.86,-1.35,-334.83,-4.97,-19.45,2.2,2.77
4.8,-1.02,1.42,-338.14,1.25,-15.13,1.78,2.92
4.89,-0.16,1.53,-344.45,8.47,-4.71,1.75,2.94
4.98,0.48,-0.03,-352.99,10.47,-3.61,1.8,2.8
5.15,-0.38,3.44,-332.2,10.91,9.18,-1.04,2.58
5.16,0.35,-0.52,-338.92,7.64,11.93,-0.48,2.3
5.26,0.08,-3.89,-371.54,-0.37,1.29,2.28,2.02
5.34,0.02,1.56,-363.49,-4.3,8.03,1.37,1.9
5.43,0.78,1.26,-349.65,-6.45,9.93,0.32,2.0
5.53,-0.6,0.38,-346.69,-9.79,-0.6,0.13,2.23
5.62,-0.11,1.57,-331.06,-8.84,-7.38,0.51,2.52
5.71,0.97,-1.84,-334.97,-5.54,-18.46,2.45,2.77
5.82,-0.85,0.3,-342.21,0.54,-13.96,1.56,2.9
5.9,-0.48,3.05,-340.69,8.83,3.16,-0.33,2.93
6.06,0.46,0.6,-352.64,10.54,-1.42,1.16,2.84
6.07,-0.97,3.4,-340.9,8.03,-6.76,1.78,2.56
6.17,-0.02,2.36,-331.25,7.3,5.06,0.71,2.25
6.25,0.85,-3.75,-362.02,3.77,13.48,0.52,2.0
6.36,-0.17,0.09,-367.73,-1.87,18.86,-0.36,1.85
6.45,-0.27,3.41,-346.06,-6.5,12.5,-0.22,1.92
6.57,-0.59,0.53,-339.88,-9.78,-0.59,0.51,2.17
6.63,-0.0,-0.75,-341.98,-9.26,-3.54,0.14,2.46
6.72,0.3,-0.72,-339.26,-5.8,-7.29,0.27,2.75
6.81,-0.09,0.16,-339.84,-0.78,-12.4,1.05,2.95
6.98,-0.1,1.56,-345.31,4.29,-14.4,1.82,3.01
7.01,-0.01,0.57,-342.55,8.31,-9.17,1.4,2.94
7.09,0.3,-1.18,-350.85,10.75,3.15,0.81,2.69
7.18,0.18,0.57,-360.81,9.75,10.57,0.82,2.35
7.28,0.18,1.33,-343.75,5.26,9.83,0.98,2.07
7.38,-0.34,-0.32,-327.8,-0.48,8.9,0.91,1.92
7.47,-0.05,-1.02,-341.13,-5.26,8.26,0.79,1.93
7.54,0.52,0.03,-348.61,-8.05,3.11,1.28,2.1
7.64,-0.08,0.44,-334.43,-8.48,-4.98,1.26,2.36
7.75,-0.09,-1.3,-340.99,-5.94,-8.16,0.71,2.64
7.91,0.16,-1.84,-362.07,-1.17,-9.35,1.22,2.88
7.91,0.14,1.07,-354.67,4.2,-11.85,1.8,2.93
8.02,0.38,1.64,-333.06,8.43,-10.86,1.88,2.85
8.1,0.16,-0.5,-331.06,10.18,-4.82,1.69,2.67
8.2,-0.31,-0.05,-339.97,9.4,3.26,1.23,2.42
8.28,-0.65,1.62,-339.83,6.25,7.08,1.52,2.18
8.38,-0.61,1.23,-341.23,1.18,7.76,1.46,1.98
8.47,-0.06,-0.54,-347.12,-3.65,14.74,-0.36,1.93
8.56,0.09,0.02,-352.64,-7.07,16.62,-0.93,2.04
8.67,0.07,1.77,-354.31,-8.33,5.72,-0.17,2.3
8.83,0.2,0.59,-341.02,-6.45,-2.14,-0.38,2.59
8.85,0.23,-0.74,-328.62,-2.36,-4.51,-0.36,2.84
8.92,-0.02,0.26,-337.17,3.0,-4.59,-0.18,2.97
9.04,-0.27,2.58,-344.89,8.25,-2.21,-0.14,2.95
9.13,-0.08,2.18,-341.44,11.05,1.66,-0.26,2.82
9.21,0.31,-1.59,-349.74,10.37,7.82,-0.25,2.5
9.3,0.66,-0.6,-359.02,6.88,15.18,-0.05,2.21
9.38,0.3,1.67,-349.28,1.76,13.2,0.43,1.98
9.49,-0.47,-0.31,-335.5,-4.05,2.12,1.69,1.88
9.59,-0.07,-0.82,-333.71,-8.35,-2.15,1.97,1.97
9.75,0.3,0.29,-340.06,-9.73,-3.72,1.59,2.2
9.77,0.28,1.34,-341.39,-6.98,-2.15,0.28,2.48
9.85,0.35,1.29,-341.92,-2.18,-1.13,-1.05,2.76
9.96,-0.34,-0.78,-355.16,2.18,-3.45,-0.46,2.97
10.03,-1.05,-0.11,-361.09,7.48,2.82,-0.43,2.98
10.13,-0.58,1.93,-342.24,11.0,4.51,-0.41,2.87
10.23,0.24,1.21,-327.46,11.07,5.18,-0.13,2.64
10.32,0.18,-0.33,-333.89,8.45,12.17,-0.34,2.39
10.41,-0.12,0.27,-339.41,3.88,15.79,-0.53,2.16
10.51,-0.35,1.47,-339.7,-1.66,11.53,0.11,1.97
10.67,-0.29,0.24,-341.91,-7.17,0.54,1.58,1.99
10.68,0.08,-1.31,-350.78,-9.78,-5.88,2.17,2.2
10.78,-0.49,1.06,-360.85,-8.55,-5.38,1.6,2.46
10.87,-0.42,2.39,-355.67,-4.88,-8.54,1.46,2.71
10.95,0.69,0.38,-334.88,0.01,-11.75,1.41,2.89
11.09,0.82,-1.18,-328.67,5.27,-4.61,-0.11,2.94
11.15,0.23,-1.33,-342.97,9.54,2.88,-0.74,2.88
11.25,-0.4,1.34,-340.27,10.98,3.76,0.23,2.7
11.35,-0.42,2.31,-333.99,9.23,6.79,0.16,2.33
11.41,0.1,-0.4,-347.62,4.97,12.53,-0.23,2.02
11.58,0.65,-0.56,-359.54,-0.58,15.66,0.12,1.87
11.59,0.08,2.51,-345.27,-5.5,11.77,0.1,1.89
11.71,-0.63,0.72,-331.92,-9.67,-3.37,1.28,2.08
11.8,-0.06,-1.31,-339.88,-10.67,-10.91,2.07,2.34
11.88,-0.21,1.05,-344.48,-7.53,-10.84,1.77,2.63
11.97,-0.11,1.61,-344.93,-2.98,-17.97,2.78,2.89
12.07,0.67,0.66,-344.43,2.84,-16.63,2.22,3.01
12.15,0.13,-0.72,-345.03,9.08,0.15,-0.31,3.02
12.26,-0.28,-0.76,-354.35,12.02,10.58,-0.69,2.86
12.34,0.06,0.42,-354.71,10.73,9.43,0.22,2.52
12.51,-0.05,-0.09,-337.8,7.32,13.67,-0.2,2.15
12.52,-0.06,-0.39,-331.34,2.13,16.89,-0.44,1.93
12.61,-0.05,0.54,-341.11,-2.99,15.79,-0.44,1.87
12.72,-0.37,1.11,-344.92,-6.99,9.9,-0.26,2.01
12.83,-0.27,0.54,-338.77,-10.08,-5.67,1.29,2.27
12.89,-0.05,-1.08,-346.12,-9.21,-12.43,2.09,2.57
13.0,-0.33,-0.46,-362.66,-4.22,-11.34,1.74,2.78
13.08,0.07,1.42,-351.21,1.13,-16.92,2.1,2.9
13.21,0.55,0.4,-331.66,5.68,-16.61,2.24,2.89
13.27,-0.09,-0.86,-337.99,8.4,-9.92,2.06,2.79
13.43,-0.27,0.37,-345.73,8.99,-2.2,1.78,2.57
13.44,-0.21,2.04,-339.65,7.98,9.41,0.59,2.25
13.55,-0.28,1.72,-341.04,4.24,18.66,-0.99,1.99
13.65,0.44,-1.42,-356.85,-2.13,16.75,-0.75,1.9
13.75,0.67,-0.7,-359.88,-7.3,11.96,-0.05,1.98
13.81,0.09,1.72,-352.71,-8.96,5.77,-0.03,2.2
13.92,-0.18,-0.24,-341.72,-8.78,-9.71,1.4,2.5
14.0,0.26,-1.18,-330.39,-5.87,-17.76,2.28,2.76
14.1,0.12,0.26,-334.83,-0.09,-14.64,2.0,2.92
14.19,-0.22,1.95,-341.77,5.4,-13.43,2.65,2.96
14.36,-0.01,2.55,-341.45,9.45,-8.8,2.31,2.95
14.36,0.01,-0.39,-345.45,11.14,0.1,0.96,2.71
14.47,0.64,-2.12,-363.7,9.19,8.41,0.78,2.34
14.55,0.27,1.57,-353.84,4.68,15.74,-0.07,2.07
14.65,-0.6,2.04,-322.75,-0.8,15.61,-0.72,1.95
14.74,0.16,-0.52,-327.96,-5.72,11.71,-0.31,1.99
14.84,0.28,0.49,-342.6,-8.46,7.93,-0.46,2.2
14.93,-0.19,2.53,-339.62,-8.47,-0.47,0.06,2.5
15.02,-0.04,2.29,-336.58,-6.18,-12.64,1.6,2.79
15.1,0.11,-1.49,-351.48,-1.73,-16.65,2.29,2.99
15.27,-0.54,-1.41,-365.75,4.44,-8.06,1.57,3.05
15.29,-0.64,2.34,-354.08,9.46,-3.68,1.32,2.96
15.37,0.32,0.95,-336.01,11.13,-1.74,1.31,2.77
15.48,0.32,-1.53,-328.31,10.01,6.77,0.66,2.49
15.58,-0.13,-0.26,-335.9,6.19,12.57,0.39,2.22
15.67,-0.25,1.04,-345.5,-0.2,10.73,0.62,2.03
15.76,-0.61,0.55,-341.89,-6.36,4.48,0.83,1.95
15.86,-0.35,-0.75,-344.54,-9.32,0.87,0.82,2.06
15.96,-0.35,-0.85,-358.41,-10.28,-5.02,1.64,2.33
16.03,-0.89,1.67,-357.45,-7.76,-9.45,1.76,2.62
16.2,-0.19,2.08,-337.96,-0.98,-5.9,0.35,2.86
16.21,0.45,0.12,-324.01,4.85,-4.07,-0.17,2.95
16.3,0.12,-0.59,-334.55,8.65,-1.7,0.01,2.9
16.39,-0.21,0.39,-349.61,9.8,-1.09,0.72,2.79
16.49,-0.69,1.43,-344.82,7.77,-4.36,2.0,2.51
16.58,-0.72,0.72,-338.9,5.23,1.57,1.61,2.21
16.68,0.23,-1.2,-356.93,0.25,4.28,1.69,1.99
16.77,0.52,0.23,-364.98,-4.84,5.51,1.77,1.92
16.85,-0.12,0.9,-353.04,-7.05,9.59,0.12,2.04
16.96,-0.58,0.13,-340.74,-8.51,5.13,-0.96,2.3
17.13,0.17,0.15,-331.86,-7.89,-3.34,-0.39,2.58
17.14,0.15,-0.17,-336.65,-4.44,-9.38,0.39,2.85
17.23,-0.27,0.67,-345.7,1.09,-11.64,1.16,3.06
17.32,0.03,2.05,-346.07,7.13,-10.74,1.8,3.09
17.4,-0.01,1.1,-342.36,11.18,-2.46,0.75,3.01
17.51,0.42,-1.4,-351.6,11.22,7.0,0.34,2.77
17.6,0.79,0.16,-361.1,8.78,13.88,0.62,2.45
17.67,0.24,0.87,-342.98,4.16,14.75,0.27,2.15
17.77,-0.68,-0.34,-324.25,-2.89,9.86,0.05,2.02
17.87,-0.29,-0.12,-337.35,-7.93,6.85,0.01,2.08
18.04,0.27,1.05,-345.43,-9.42,2.15,0.29,2.28
18.05,0.28,0.24,-340.4,-8.3,-5.1,0.42,2.55
18.16,-0.17,-0.42,-343.97,-4.65,-6.11,0.0,2.77
18.25,-0.66,0.04,-355.82,-0.4,-11.28,1.47,2.98
18.34,0.16,0.52,-355.68,4.29,-17.93,2.9,3.03
18.41,0.63,1.03,-335.12,8.53,-12.35,2.23,2.89
18.52,0.3,-0.77,-332.78,9.5,-5.42,1.94,2.71
18.59,0.12,-0.4,-344.53,7.95,2.22,1.69,2.46
